7 0 0 748 125 61 240 0  
7 0 1 1219 101 88 211 0  
12 0 2 1115 207 85 244 0  
12 0 3 640 244 56 267 0  
13 0 39 1115 336 81 220 0  
13 0 40 647 361 41 233 0  
14 0 41 1127 360 67 227 0  
14 0 42 653 388 38 247 0  
15 0 43 649 419 23 241 0  
15 0 44 1124 416 73 238 0  
16 0 45 656 456 27 239 0  
16 0 46 1137 455 72 233 0  
17 0 47 649 482 27 239 0  
17 0 48 1129 477 71 220 0  
18 0 49 633 509 25 243 0  
18 0 50 1119 511 70 224 0  
19 0 51 618 533 25 256 0  
19 0 52 1111 534 73 229 0  
20 0 53 611 535 40 247 0  
20 0 54 1104 543 70 232 0  
21 0 55 595 537 38 243 0  
21 0 56 1091 548 70 235 0  
22 0 57 587 558 41 258 0  
22 0 58 1085 563 66 226 0  
23 0 59 569 583 43 263 0  
23 0 60 1073 592 76 242 0  
24 0 61 561 596 34 250 0  
24 0 62 1070 613 70 245 0  
25 0 63 556 608 36 260 0  
25 0 64 1062 621 73 248 0  
26 0 65 550 616 39 251 0  
26 0 66 1062 632 69 253 0  
27 0 67 547 626 36 262 0  
27 0 68 1059 644 66 252 0  
28 0 69 539 631 43 261 0  
28 0 70 1054 645 72 249 0  
29 0 71 534 634 41 263 0  
29 0 72 1056 646 72 243 0  
30 0 73 534 637 49 273 0  
30 0 74 1053 642 70 243 0  
32 0 75 1059 634 75 245 0  
32 0 76 530 636 40 275 0  
35 0 77 1070 624 74 258 0  
35 0 78 535 618 35 269 0  
38 0 79 540 631 45 281 0  
38 0 80 1083 625 81 264 0  
43 0 81 1104 608 78 264 0  
43 0 82 538 609 41 280 0  
44 0 83 1107 617 81 267 0  
44 0 84 542 613 38 288 0  
45 0 85 539 621 36 294 0  
45 0 86 1114 623 79 278 0  
46 0 87 542 617 30 301 0  
46 0 88 1121 617 79 279 0  
47 0 89 1127 612 75 273 0  
47 0 90 547 621 28 294 0  
48 0 91 561 624 34 292 0  
48 0 92 1145 616 81 285 0  
49 0 93 576 636 34 301 0  
49 0 94 1165 622 98 292 0  
50 0 95 593 654 30 322 0  
